Comment,Designator,Footprint,Quantity,Mfr.Part,Manufacturer

"SMD7525-16Ohm","BUZ1","BUZZER_SMD_7.5X7.5MM","1","SMD7525-16?","XHXDZ"
"Ceramic capacitor, 0,1?, X7R, ±10%, 16V, 0402","C1, C9, C11, C14, C22, C24, C28, C30, C31, C33, C34, C36, C37, C38, C39, C40, C41, C42, C43, C46, C47, C50, C51, C52, C55, C57, C59, C60, C62, C64, C65, C66, C69, C71, C73, C75, C80, C82, C83, C84, C87, C89, C94, C96, C112, C113, C116, C118, C119, C121, C123","Capacitor_0402","51","",""
"Ceramic capacitor, 1?, X7R, ±10%, 16V, 0402","C2, C15, C48, C49, C88, C93, C95, C104, C106, C114","Capacitor_0402","10","",""
"Ceramic capacitor, 100?, X7R, ±10%, 50V, 1206","C3, C5, C6, C8, C12, C13, C16, C18, C19, C21, C25, C26","Capacitor_1206","12","",""
"Ceramic capacitor, 1000, X7R, ±10%, 16V, 0402","C4, C17, C103","Capacitor_0402","3","",""
"Ceramic capacitor, 43, X7R, ±10%, 16V, 0402","C7, C20","Capacitor_0402","2","",""
"Ceramic capacitor, 8200, X7R, ±10%, 16V, 0402","C10, C23","Capacitor_0402","2","",""
"Ceramic capacitor, 4,7?, X7R, ±10%, 16V, 0402","C27, C44, C45, C53, C54, C56, C61, C63, C67, C68, C70, C72, C74, C79, C81, C115, C117, C120, C122","Capacitor_0402","19","",""
"Ceramic capacitor, 10?, X7R, ±10%, 16V, 0402","C29, C58, C76, C77, C78, C90, C97","Capacitor_0402","7","",""
"Ceramic capacitor, 22?, X7R, ±10%, 16V, 0402","C32, C35","Capacitor_0402","2","",""
"Ceramic capacitor, 15, X7R, ±10%, 16V, 0402","C85, C86, C102","Capacitor_0402","3","",""
"Ceramic capacitor, 0,01?, X7R, ±10%, 16V, 0402","C91, C92, C98, C99, C105","Capacitor_0402","5","",""
"Ceramic capacitor, 1.5, X7R, ±10%, 16V, 0402","C100","Capacitor_0402","1","",""
"Ceramic capacitor, 1, X7R, ±10%, 16V, 0402","C101","Capacitor_0402","1","",""
"Ceramic capacitor, 2200, X7R, ±10%, 16V, 0402","C107","Capacitor_0402","1","",""
"Ceramic capacitor, 4.7, X7R, ±10%, 16V, 0402","C108","Capacitor_0402","1","",""
"Ceramic capacitor, 0,033?, X7R, ±10%, 16V, 0402","C109","Capacitor_0402","1","",""
"Ceramic capacitor, 22, X7R, ±10%, 16V, 0402","C110, C111","Capacitor_0402","2","",""
"TPS61088","D1, D2","TPS61088","2","TPS61088RHLR","Texas Instruments"
"INA3221","D3","QFN16_4x4mm","1","INA3221AIRGVR","Texas Instruments"
"HPM6754IVM2","D4","HPM6754IVM2_BGA-289_14x14mm","1","HPM6754IVM2","HPMICRO"
"USBLC6-2P6","D5","SOT-666","1","USBLC6-2P6","STMicroelectronics"
"TP4057","D6","SOT23-6","1","TP4057","JSMSEMI"
"DW01A","D7","SOT23-6","1","DW01A-JSM","JSMSEMI"
"TPS63001","D8","TPS6300x","1","TPS63001DRCR","Texas Instruments"
"TPL730ADJ-5TL","D9, D17, D18","SOT-23-5","3","TPL730ADJ-5TR","3PEAK"
"ICM-45686","D10, D12","ICM-42688-P_LGA-14_3x2.5mm","2","ICM-45686","TDK InvenSense"
"S40FC004","D11","eMMC_9x7.5mm","1","S40FC004C1B2I00300","SkyHigh Memory"
"NRF24L01P-R","D13","QFN-20_4x4mm","1","NRF24L01P-R","Nordic Semicomductor"
"OK7EL89CJI-111YLC-32.768K","D14","OSC: 2016","1","OK7EL89CJI-111YLC-32.768K","YXC Crystal Oscillators"
"BMP388","D15","BMP388_LGA-10_2x2mm","1","BMP388","Bosch"
"SN74HC595PWR","D16","TSSOP-16","1","SN74HC595PWR","Texas Instruments"
"GS2011AG-G","HL1","LED_7SEG_SMD","1","GS2011AG-G","Guangcai Display"
"3A 4.7uH ±20% 105m? 3.5A SMD,4.5x4.1mm Fixed Inductors RoHS","L1, L2, L3, L5","Inductor_SL0420-4R7M","4","SL0420-4R7M","TECHFUSE"
"Inductor, 600?@100MHz, ±10%, 0603","L4, L9","IND: 0603","2","",""
"Inductor, 3900, ±10%, 0402","L6","IND: 0402","1","",""
"Inductor, 8200, ±10%, 0402","L7","IND: 0402","1","",""
"Inductor, 2700, ±10%, 0402","L8","IND: 0402","1","",""
"Resistor, 470k, ±1%, 0402","R1, R7","","2","",""
"Resistor, 118k, ±1%, 0402","R2, R8","","2","",""
"Resistor, 28,7k, ±1%, 0402","R3, R9","","2","",""
"Resistor, 267k, ±1%, 0402","R4, R10","","2","",""
"Resistor, 124k, ±1%, 0402","R5, R11","","2","",""
"Resistor, 10k, ±1%, 0402","R6, R30, R33, R34, R35, R36, R41, R54, R56, R83, R88, R89, R91, R93, R94, R96","RES: 0402","16","",""
"Resistor, 10k, ±1%, 0402","R12, R13, R14, R17","","4","",""
"Resistor, 0.016, ±1%, 1206","R15, R16, R18","RES: 1206","3","",""
"Resistor, 0, ±1%, 0805","R19, R20, R21, R22","RES: 0805","4","",""
"Resistor, 1k, ±1%, 0402","R23, R25, R27, R29, R40, R42, R43, R57, R58, R59, R60, R61, R62, R63, R64, R81, R87","RES: 0402","17","","[NoValue], Yageo"
"Resistor, 5,1k, ±1%, 0402","R24, R26, R38, R39, R80, R86","RES: 0402","6","",""
"Resistor, 100, ±1%, 0402","R28","RES: 0402","1","",""
"Resistor, 30,9k, ±1%, 0402","R31","RES: 0402","1","",""
"Resistor, 100, ±1%, 0805","R32","","1","",""
"Resistor, 2M, ±1%, 0402","R37","RES: 0402","1","",""
"Resistor, 33, ±1%, 0402","R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R82, R84, R85, R92","RES: 0402","29","",""
"Resistor, 22k, ±1%, 0402","R55","RES: 0402","1","",""
"Resistor, 24,9k, ±1%, 0402","R90","RES: 0402","1","",""
"Resistor, 8,87k, ±1%, 0402","R95","RES: 0402","1","",""
"Tactile Switch SPST 400gf 2.5mm 4.2mm x 3.2mm Surface Mount","SW1, SW2, SW3, SW4","Button_4.2x2.3mm","4","GT-TC048D-H025-L1","G-Switch"
"D1213A-01T","VD1, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD16, VD17, VD18, VD19, VD20, VD21, VD22, VD23, VD24","SOD-523","17","D1213A-01T-7","Diodes"
"1 Independent 30V 420mV@1A 1A PowerDI-123 Single Diodes RoHS","VD9, VD10","PowerDI-123","2","DFLS130-7","DIODES"
"LED_0603_Y","VD11, VD12, VD13, VD14, VD15","LED: 0603Y","5","TJ-S1608CY6T5ALC9Y-A5","TOGIALED"
"Diode Independent 75V 150mA Surface Mount SOD-523","VD25","SOD-523","1","1N4148WT","JSMSEMI"
"TM30N03ADF","VT1, VT2, VT3, VT4, VT5","TM30N03ADF","5","TM30N03ADF","Tritech-MOS"
"N-Channel 60V 380mA 540mW Surface Mount SOT-23","VT6, VT7, VT8","SOT-23","3","2N7002K-7","Diodes"
"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount","X10","CON: TYPE-C-31-M-12","1","TYPE C-DB-116PWB","HDGC"
"Connector_OV5640","X13","OV5640_CONNECTOR","1","KH-FG0.5-H2.0-24PIN","kinghelm"
"Connector, 2pin, 2.5 mm, 250V, 3A","X14","CONN_5x10_1.27μμ_NO_SOLDERING","1","","JST"
"Connector_JST_XH_B2B-XH-A_1x02_2.50mm","X15, X16","CONN_JST_XH_B2B-XH-A_1x02_P2.50mm","2","",""
